NAME,LTP,DC,DO,DH,DL,PDC,DATE_TIME,DATE_TODAY,HOUR,MIN
TATSTE,338.25,329.70,333.25,342.50,333.25,329.70,2019-10-11 10:24:24,2019-10-11,10,24
EICMOT,"18,232.75","18,060.05","18,209.20","18,329.75","18,135.30","18,060.05",2019-10-11 10:24:24,2019-10-11,10,24
GAIL,126.30,127.40,127.40,128.60,126.15,127.40,2019-10-11 10:24:24,2019-10-11,10,24
JSWSTE,218.15,213.80,215.50,220.80,215.30,213.80,2019-10-11 10:24:24,2019-10-11,10,24
BHAINF,256.30,256.70,256.70,258.10,252.60,256.70,2019-10-11 10:24:24,2019-10-11,10,24
CIPLA,418.00,422.25,425.00,425.00,389.55,422.25,2019-10-11 10:24:24,2019-10-11,10,24
TATMOT,119.30,116.90,117.70,119.85,117.25,116.90,2019-10-11 10:24:24,2019-10-11,10,24
ZEEENT,238.00,244.95,246.00,249.30,236.30,244.95,2019-10-11 10:24:24,2019-10-11,10,24
YESBAN,41.20,40.95,41.00,41.95,41.00,40.95,2019-10-11 10:24:24,2019-10-11,10,24
BSESEN,"37,916.79","37,880.40","37,994.48","38,345.41","37,737.85","37,880.40",2019-10-11 10:55:50,2019-10-11,10,55
HDFBAN,"1,199.60","1,199.95","1,213.00","1,224.10","1,189.10","1,199.95",2019-10-11 10:55:50,2019-10-11,10,55
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,2019-10-11 10:55:50,2019-10-11,10,55
HDFC,"1,994.45","1,987.75","2,000.00","2,024.90","1,980.80","1,987.75",2019-10-11 10:55:50,2019-10-11,10,55
INFTEC,801.75,782.90,785.95,813.00,777.00,782.90,2019-10-11 10:55:50,2019-10-11,10,55
ICIBAN,425.15,423.70,429.40,433.30,422.15,423.70,2019-10-11 10:55:50,2019-10-11,10,55
ITC,242.40,242.95,243.00,246.20,241.25,242.95,2019-10-11 10:55:50,2019-10-11,10,55
TCS,"1,955.35","2,004.40","1,933.00","1,960.90","1,929.00","2,004.40",2019-10-11 10:55:50,2019-10-11,10,55
KOTMAH,"1,588.00","1,585.85","1,592.00","1,624.90","1,578.05","1,585.85",2019-10-11 10:55:50,2019-10-11,10,55
