NAME,LTP,DC,DO,DH,DL,PDC,DATE_TIME,DATE_TODAY,HOUR,MIN
YESBAN,50.30,47.40,46.80,51.80,46.00,47.40,2019-10-18 09:47:49,2019-10-18,09,47
BSESEN,"39,159.24","39,052.06","39,087.83","39,218.60","38,963.60","39,052.06",2019-10-18 10:19:21,2019-10-18,10,19
HDFBAN,"1,231.30","1,220.80","1,222.30","1,233.85","1,222.30","1,220.80",2019-10-18 10:19:21,2019-10-18,10,19
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,2019-10-18 10:19:21,2019-10-18,10,19
HDFC,"2,082.60","2,088.20","2,095.00","2,095.00","2,065.00","2,088.20",2019-10-18 10:19:21,2019-10-18,10,19
INFTEC,765.20,769.10,766.65,769.25,760.10,769.10,2019-10-18 10:19:21,2019-10-18,10,19
ICIBAN,436.65,440.55,438.40,441.10,435.35,440.55,2019-10-18 10:19:21,2019-10-18,10,19
ITC,246.55,245.85,246.50,247.20,245.00,245.85,2019-10-18 10:19:21,2019-10-18,10,19
TCS,"2,036.40","2,030.70","2,038.00","2,042.75","2,025.10","2,030.70",2019-10-18 10:19:21,2019-10-18,10,19
KOTMAH,"1,606.00","1,603.95","1,603.95","1,614.05","1,591.05","1,603.95",2019-10-18 10:19:21,2019-10-18,10,19
LARTOU,"1,446.15","1,424.25","1,428.00","1,448.05","1,425.80","1,424.25",2019-10-18 10:19:21,2019-10-18,10,19
HINLEV,"2,105.20","2,103.60","2,100.00","2,113.10","2,091.00","2,103.60",2019-10-18 10:19:21,2019-10-18,10,19
AXIBAN,708.95,710.55,710.90,714.75,705.70,710.55,2019-10-18 10:19:21,2019-10-18,10,19
STABAN,267.95,265.45,264.50,269.90,263.50,265.45,2019-10-18 10:19:21,2019-10-18,10,19
BAJFI,"4,166.50","4,105.20","4,120.00","4,200.00","4,082.80","4,105.20",2019-10-18 10:19:21,2019-10-18,10,19
MARUTI,"7,217.15","7,123.10","7,105.00","7,226.85","7,062.95","7,123.10",2019-10-18 10:19:21,2019-10-18,10,19
INDBA,"1,327.35","1,339.80","1,338.00","1,338.00","1,320.35","1,339.80",2019-10-18 10:19:21,2019-10-18,10,19
ASIPAI,"1,810.70","1,812.95","1,812.95","1,823.85","1,788.70","1,812.95",2019-10-18 10:19:21,2019-10-18,10,19
BHAAIR,381.15,385.75,385.00,385.00,380.50,385.75,2019-10-18 10:19:21,2019-10-18,10,19
HCLTEC,"1,093.30","1,092.90","1,103.00","1,103.00","1,088.25","1,092.90",2019-10-18 10:19:21,2019-10-18,10,19
TITIND,"1,282.10","1,276.85","1,287.70","1,287.70","1,274.40","1,276.85",2019-10-18 10:19:21,2019-10-18,10,19
MAHMAH,589.20,593.15,589.75,592.35,586.15,593.15,2019-10-18 10:19:21,2019-10-18,10,19
