NAME,LTP,DC,DO,DH,DL,PDC,CH,PCH,DV,LTT,WH52,WL52,DATE_TIME,DATE_TODAY,HOUR,MIN
GRASIM,720.00,724.75,724.75,724.75,718.00,724.75,-4.75,-0.66,2584,09:19:02.000,958.55,635.60,2019-10-18 09:17:46,2019-10-18,09,17
VEDLIM,148.55,148.15,148.30,149.10,148.00,148.15,0.40,+0.27,62275,09:19:05.000,228.00,125.70,2019-10-18 09:17:46,2019-10-18,09,17
HINDAL,187.45,188.85,189.00,189.00,187.45,188.85,-1.40,-0.74,6665,09:19:08.000,246.00,171.25,2019-10-18 09:17:46,2019-10-18,09,17
TATSTE,352.90,355.65,355.65,355.65,352.40,355.65,-2.75,-0.77,34795,09:19:10.000,610.00,320.30,2019-10-18 09:17:46,2019-10-18,09,17
EICMOT,20354.65,20518.00,20550.15,20565.90,20348.60,20518.00,-163.35,-0.80,318,09:19:13.000,25300.00,15196.95,2019-10-18 09:17:46,2019-10-18,09,17
GAIL,127.85,128.70,128.90,128.90,127.85,128.70,-0.85,-0.66,3920,09:19:15.000,190.98,119.65,2019-10-18 09:17:46,2019-10-18,09,17
JSWSTE,220.75,223.35,223.90,223.90,220.65,223.35,-2.60,-1.16,9597,09:19:18.000,378.05,201.90,2019-10-18 09:17:46,2019-10-18,09,17
BHAINF,255.00,257.20,257.50,257.50,254.95,257.20,-2.20,-0.86,1225,09:19:19.000,333.80,238.70,2019-10-18 09:17:46,2019-10-18,09,17
CIPLA,443.00,446.30,448.15,448.75,442.95,446.30,-3.30,-0.74,5925,09:19:21.000,646.25,389.55,2019-10-18 09:17:46,2019-10-18,09,17
TATMOT,137.50,138.15,140.00,140.00,136.75,138.15,-0.65,-0.47,206176,09:19:23.000,239.30,106.00,2019-10-18 09:17:46,2019-10-18,09,17
ZEEENT,257.95,264.70,247.95,262.80,247.95,264.70,-6.75,-2.55,126836,09:19:25.000,506.10,203.70,2019-10-18 09:17:46,2019-10-18,09,17
YESBAN,46.50,47.40,46.80,47.20,46.00,47.40,-0.90,-1.90,898809,09:19:27.000,285.90,29.05,2019-10-18 09:17:46,2019-10-18,09,17
BSESEN,38988.15,39052.06,39087.83,39087.83,38963.60,39052.06,-63.91,-0.16,NA,09:19:29.300,NA,NA,2019-10-18 09:19:27,2019-10-18,09,19
HDFBAN,1226.85,1220.80,1222.30,1229.65,1222.30,1220.80,6.05,+0.50,5454,09:19:30.000,1285.00,942.20,2019-10-18 09:19:27,2019-10-18,09,19
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,0.65,+0.50,2225733,15:30:03.000,152.95,68.10,2019-10-18 09:19:27,2019-10-18,09,19
HDFC,2072.55,2088.20,2095.00,2095.00,2065.00,2088.20,-15.65,-0.75,6773,09:19:35.000,2357.00,1646.00,2019-10-18 09:19:27,2019-10-18,09,19
INFTEC,768.70,769.10,766.65,769.25,763.00,769.10,-0.40,-0.05,14121,09:19:36.000,847.40,600.65,2019-10-18 09:19:27,2019-10-18,09,19
ICIBAN,437.15,440.55,438.40,439.00,436.50,440.55,-3.40,-0.77,39699,09:19:38.000,458.45,310.30,2019-10-18 09:19:27,2019-10-18,09,19
ITC,245.60,245.85,246.50,246.50,245.00,245.85,-0.25,-0.10,6068,09:19:40.000,310.00,234.10,2019-10-18 09:19:27,2019-10-18,09,19
TCS,2038.50,2030.70,2038.00,2041.00,2030.00,2030.70,7.80,+0.38,2685,09:19:41.000,2296.00,1784.00,2019-10-18 09:19:27,2019-10-18,09,19
KOTMAH,1594.40,1603.95,1603.95,1604.80,1591.05,1603.95,-9.55,-0.60,1279,09:19:43.000,1682.40,1099.00,2019-10-18 09:19:27,2019-10-18,09,19
LARTOU,1432.00,1424.25,1428.00,1433.00,1425.80,1424.25,7.75,+0.54,3352,09:19:45.000,1606.70,1183.40,2019-10-18 09:19:27,2019-10-18,09,19
HINLEV,2091.60,2103.60,2100.00,2100.00,2091.60,2103.60,-12.00,-0.57,1641,09:19:47.000,2108.00,1522.00,2019-10-18 09:19:27,2019-10-18,09,19
AXIBAN,708.00,710.55,710.90,710.90,706.00,710.55,-2.55,-0.36,9121,09:19:49.000,826.55,534.15,2019-10-18 09:19:27,2019-10-18,09,19
STABAN,263.95,265.45,264.50,264.70,263.50,265.45,-1.50,-0.57,51894,09:19:50.000,373.70,244.35,2019-10-18 09:19:27,2019-10-18,09,19
